variable,region,Source,Series,year,value,Unit,RID
Total Inflows,MARLBOROUGH,NIWA,Annual June Year,2016,19605,Mm3,18
Total Outflows,NORTHLAND,NIWA,Annual June Year,2016,17252,Mm3,1
Total Outflows,AUCKLAND,NIWA,Annual June Year,2016,5867,Mm3,2
Total Outflows,WAIKATO,NIWA,Annual June Year,2016,33896,Mm3,3
Total Outflows,BAY_OF_PLENTY,NIWA,Annual June Year,2016,25938,Mm3,4
Total Outflows,GISBORNE,NIWA,Annual June Year,2016,16785,Mm3,5
Total Outflows,HAWKES_BAY,NIWA,Annual June Year,2016,20112,Mm3,6
Total Outflows,TARANAKI,NIWA,Annual June Year,2016,12163,Mm3,7
Total Outflows,MANAWATU_WHANGANUI,NIWA,Annual June Year,2016,28787,Mm3,8
Total Outflows,WELLINGTON,NIWA,Annual June Year,2016,12012,Mm3,9
Total Outflows,WEST_COAST,NIWA,Annual June Year,2016,163486,Mm3,12
Total Outflows,CANTERBURY,NIWA,Annual June Year,2016,63549,Mm3,13
Total Outflows,OTAGO,NIWA,Annual June Year,2016,52212,Mm3,14
Total Outflows,SOUTHLAND,NIWA,Annual June Year,2016,82509,Mm3,15
Total Outflows,TASMAN,NIWA,Annual June Year,2016,21128,Mm3,16
Total Outflows,NELSON,NIWA,Annual June Year,2016,620,Mm3,17
Total Outflows,MARLBOROUGH,NIWA,Annual June Year,2016,19602,Mm3,18
change in Groundwater,NORTHLAND,GNS,Annual June Year,2016,130,Mm3,1
change in Groundwater,AUCKLAND,GNS,Annual June Year,2016,117,Mm3,2
change in Groundwater,WAIKATO,GNS,Annual June Year,2016,-635,Mm3,3
change in Groundwater,BAY_OF_PLENTY,GNS,Annual June Year,2016,2,Mm3,4
change in Groundwater,GISBORNE,GNS,Annual June Year,2016,-25,Mm3,5
change in Groundwater,HAWKES_BAY,GNS,Annual June Year,2016,-30,Mm3,6
change in Groundwater,TARANAKI,GNS,Annual June Year,2016,-625,Mm3,7
change in Groundwater,MANAWATU_WHANGANUI,GNS,Annual June Year,2016,-1198,Mm3,8
change in Groundwater,WELLINGTON,GNS,Annual June Year,2016,-92,Mm3,9
change in Groundwater,NORTH_ISLAND,GNS,Annual June Year,2016,-2356,Mm3,10
change in Groundwater,WEST_COAST,GNS,Annual June Year,2016,-25,Mm3,12
change in Groundwater,CANTERBURY,GNS,Annual June Year,2016,-942,Mm3,13
change in Groundwater,OTAGO,GNS,Annual June Year,2016,-501,Mm3,14
change in Groundwater,SOUTHLAND,GNS,Annual June Year,2016,-109,Mm3,15
change in Groundwater,TASMAN,GNS,Annual June Year,2016,1098,Mm3,16
change in Groundwater,NELSON,GNS,Annual June Year,2016,0,Mm3,17
change in Groundwater,MARLBOROUGH,GNS,Annual June Year,2016,29,Mm3,18
change in Groundwater,SOUTH_ISLAND,GNS,Annual June Year,2016,-450,Mm3,19
change in Groundwater,NEW_ZEALAND,GNS,Annual June Year,2016,-2806,Mm3,20
Change in Ice Volume,NORTHLAND,NIWA,Annual June Year,2017,,Mm3,1
Change in Ice Volume,AUCKLAND,NIWA,Annual June Year,2017,,Mm3,2
Change in Ice Volume,WAIKATO,NIWA,Annual June Year,2017,0,Mm3,3
Change in Ice Volume,BAY_OF_PLENTY,NIWA,Annual June Year,2017,,Mm3,4
Change in Ice Volume,GISBORNE,NIWA,Annual June Year,2017,,Mm3,5
Change in Ice Volume,HAWKES_BAY,NIWA,Annual June Year,2017,,Mm3,6
Change in Ice Volume,TARANAKI,NIWA,Annual June Year,2017,,Mm3,7
Change in Ice Volume,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,0,Mm3,8
Change in Ice Volume,WELLINGTON,NIWA,Annual June Year,2017,,Mm3,9
Change in Ice Volume,NORTH_ISLAND,NIWA,Annual June Year,2017,0,Mm3,10
Change in Ice Volume,WEST_COAST,NIWA,Annual June Year,2017,-81,Mm3,12
Change in Ice Volume,CANTERBURY,NIWA,Annual June Year,2017,-104,Mm3,13
Change in Ice Volume,OTAGO,NIWA,Annual June Year,2017,-12,Mm3,14
Change in Ice Volume,SOUTHLAND,NIWA,Annual June Year,2017,-3,Mm3,15
Change in Ice Volume,TASMAN,NIWA,Annual June Year,2017,,Mm3,16
Change in Ice Volume,NELSON,NIWA,Annual June Year,2017,,Mm3,17
Change in Ice Volume,MARLBOROUGH,NIWA,Annual June Year,2017,0,Mm3,18
Change in Ice Volume,SOUTH_ISLAND,NIWA,Annual June Year,2017,-200,Mm3,19
Change in Ice Volume,NEW_ZEALAND,NIWA,Annual June Year,2017,-201,Mm3,20
Change in Snow,NORTHLAND,NIWA,Annual June Year,2017,0,Mm3,1
Change in Snow,AUCKLAND,NIWA,Annual June Year,2017,0,Mm3,2
Change in Snow,WAIKATO,NIWA,Annual June Year,2017,-2,Mm3,3
Change in Snow,BAY_OF_PLENTY,NIWA,Annual June Year,2017,0,Mm3,4
Change in Snow,GISBORNE,NIWA,Annual June Year,2017,0,Mm3,5
Change in Snow,HAWKES_BAY,NIWA,Annual June Year,2017,-2,Mm3,6
Change in Snow,TARANAKI,NIWA,Annual June Year,2017,0,Mm3,7
Change in Snow,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,-3,Mm3,8
Change in Snow,WELLINGTON,NIWA,Annual June Year,2017,-18,Mm3,9
Change in Snow,NORTH_ISLAND,NIWA,Annual June Year,2017,-26,Mm3,10
Change in Snow,WEST_COAST,NIWA,Annual June Year,2017,184,Mm3,12
Change in Snow,CANTERBURY,NIWA,Annual June Year,2017,-156,Mm3,13
Change in Snow,OTAGO,NIWA,Annual June Year,2017,-4,Mm3,14
Change in Snow,SOUTHLAND,NIWA,Annual June Year,2017,301,Mm3,15
Change in Snow,TASMAN,NIWA,Annual June Year,2017,-65,Mm3,16
Change in Snow,NELSON,NIWA,Annual June Year,2017,0,Mm3,17
Change in Snow,MARLBOROUGH,NIWA,Annual June Year,2017,-38,Mm3,18
Change in Snow,SOUTH_ISLAND,NIWA,Annual June Year,2017,221,Mm3,19
Change in Snow,NEW_ZEALAND,NIWA,Annual June Year,2017,195,Mm3,20
Change in Soil Moisture,NORTHLAND,NIWA,Annual June Year,2017,-158,Mm3,1
Change in Soil Moisture,AUCKLAND,NIWA,Annual June Year,2017,-63,Mm3,2
Change in Soil Moisture,WAIKATO,NIWA,Annual June Year,2017,-423,Mm3,3
Change in Soil Moisture,BAY_OF_PLENTY,NIWA,Annual June Year,2017,-254,Mm3,4
Change in Soil Moisture,GISBORNE,NIWA,Annual June Year,2017,-210,Mm3,5
Change in Soil Moisture,HAWKES_BAY,NIWA,Annual June Year,2017,-327,Mm3,6
Change in Soil Moisture,TARANAKI,NIWA,Annual June Year,2017,-147,Mm3,7
Change in Soil Moisture,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,-348,Mm3,8
Change in Soil Moisture,WELLINGTON,NIWA,Annual June Year,2017,-140,Mm3,9
Change in Soil Moisture,NORTH_ISLAND,NIWA,Annual June Year,2017,-2070,Mm3,10
Change in Soil Moisture,WEST_COAST,NIWA,Annual June Year,2017,70,Mm3,12
Change in Soil Moisture,CANTERBURY,NIWA,Annual June Year,2017,31,Mm3,13
Change in Soil Moisture,OTAGO,NIWA,Annual June Year,2017,48,Mm3,14
Change in Soil Moisture,SOUTHLAND,NIWA,Annual June Year,2017,150,Mm3,15
Change in Soil Moisture,TASMAN,NIWA,Annual June Year,2017,62,Mm3,16
Change in Soil Moisture,NELSON,NIWA,Annual June Year,2017,5,Mm3,17
Change in Soil Moisture,MARLBOROUGH,NIWA,Annual June Year,2017,-17,Mm3,18
Change in Soil Moisture,SOUTH_ISLAND,NIWA,Annual June Year,2017,350,Mm3,19
Change in Soil Moisture,NEW_ZEALAND,NIWA,Annual June Year,2017,-1720,Mm3,20
Change in Lakes,NORTHLAND,NIWA,Annual June Year,2017,0,Mm3,1
Change in Lakes,AUCKLAND,NIWA,Annual June Year,2017,5,Mm3,2
Change in Lakes,WAIKATO,NIWA,Annual June Year,2017,-66,Mm3,3
Change in Lakes,BAY_OF_PLENTY,NIWA,Annual June Year,2017,30,Mm3,4
Change in Lakes,GISBORNE,NIWA,Annual June Year,2017,0,Mm3,5
Change in Lakes,HAWKES_BAY,NIWA,Annual June Year,2017,27,Mm3,6
Change in Lakes,TARANAKI,NIWA,Annual June Year,2017,0,Mm3,7
Change in Lakes,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,35,Mm3,8
Change in Lakes,WELLINGTON,NIWA,Annual June Year,2017,-16,Mm3,9
Change in Lakes,NORTH_ISLAND,NIWA,Annual June Year,2017,14,Mm3,10
Change in Lakes,WEST_COAST,NIWA,Annual June Year,2017,-22,Mm3,12
Change in Lakes,CANTERBURY,NIWA,Annual June Year,2017,-1735,Mm3,13
Change in Lakes,OTAGO,NIWA,Annual June Year,2017,-727,Mm3,14
Change in Lakes,SOUTHLAND,NIWA,Annual June Year,2017,-662,Mm3,15
Change in Lakes,TASMAN,NIWA,Annual June Year,2017,-21,Mm3,16
Change in Lakes,NELSON,NIWA,Annual June Year,2017,0,Mm3,17
Change in Lakes,MARLBOROUGH,NIWA,Annual June Year,2017,0,Mm3,18
Change in Lakes,SOUTH_ISLAND,NIWA,Annual June Year,2017,-3166,Mm3,19
Change in Lakes,NEW_ZEALAND,NIWA,Annual June Year,2017,-3152,Mm3,20
Evapotranspiration,NORTHLAND,NIWA,Annual June Year,2017,7897,Mm3,1
Evapotranspiration,AUCKLAND,NIWA,Annual June Year,2017,2609,Mm3,2
Evapotranspiration,WAIKATO,NIWA,Annual June Year,2017,14631,Mm3,3
Evapotranspiration,BAY_OF_PLENTY,NIWA,Annual June Year,2017,8623,Mm3,4
Evapotranspiration,GISBORNE,NIWA,Annual June Year,2017,5507,Mm3,5
Evapotranspiration,HAWKES_BAY,NIWA,Annual June Year,2017,7065,Mm3,6
Evapotranspiration,TARANAKI,NIWA,Annual June Year,2017,4675,Mm3,7
Evapotranspiration,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,11674,Mm3,8
Evapotranspiration,WELLINGTON,NIWA,Annual June Year,2017,5096,Mm3,9
Evapotranspiration,NORTH_ISLAND,NIWA,Annual June Year,2017,67776,Mm3,10
Evapotranspiration,WEST_COAST,NIWA,Annual June Year,2017,14449,Mm3,12
Evapotranspiration,CANTERBURY,NIWA,Annual June Year,2017,12181,Mm3,13
Evapotranspiration,OTAGO,NIWA,Annual June Year,2017,12149,Mm3,14
Evapotranspiration,SOUTHLAND,NIWA,Annual June Year,2017,13839,Mm3,15
Evapotranspiration,TASMAN,NIWA,Annual June Year,2017,5497,Mm3,16
Evapotranspiration,NELSON,NIWA,Annual June Year,2017,217,Mm3,17
Evapotranspiration,MARLBOROUGH,NIWA,Annual June Year,2017,3867,Mm3,18
Evapotranspiration,SOUTH_ISLAND,NIWA,Annual June Year,2017,62197,Mm3,19
Evapotranspiration,NEW_ZEALAND,NIWA,Annual June Year,2017,129974,Mm3,20
Inflow from other regions,NORTHLAND,NIWA,Annual June Year,2017,3,Mm3,1
Inflow from other regions,AUCKLAND,NIWA,Annual June Year,2017,11,Mm3,2
Inflow from other regions,WAIKATO,NIWA,Annual June Year,2017,81,Mm3,3
Inflow from other regions,BAY_OF_PLENTY,NIWA,Annual June Year,2017,5505,Mm3,4
Inflow from other regions,GISBORNE,NIWA,Annual June Year,2017,3218,Mm3,5
Inflow from other regions,HAWKES_BAY,NIWA,Annual June Year,2017,2076,Mm3,6
Inflow from other regions,TARANAKI,NIWA,Annual June Year,2017,4,Mm3,7
Inflow from other regions,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,25,Mm3,8
Inflow from other regions,WELLINGTON,NIWA,Annual June Year,2017,63,Mm3,9
Inflow from other regions,WEST_COAST,NIWA,Annual June Year,2017,7544,Mm3,12
Inflow from other regions,CANTERBURY,NIWA,Annual June Year,2017,10024,Mm3,13
Inflow from other regions,OTAGO,NIWA,Annual June Year,2017,14887,Mm3,14
Inflow from other regions,SOUTHLAND,NIWA,Annual June Year,2017,39,Mm3,15
Inflow from other regions,TASMAN,NIWA,Annual June Year,2017,1494,Mm3,16
Inflow from other regions,NELSON,NIWA,Annual June Year,2017,4,Mm3,17
Inflow from other regions,MARLBOROUGH,NIWA,Annual June Year,2017,8276,Mm3,18
Outflow to other regions,NORTHLAND,NIWA,Annual June Year,2017,1,Mm3,1
Outflow to other regions,AUCKLAND,NIWA,Annual June Year,2017,44,Mm3,2
Outflow to other regions,WAIKATO,NIWA,Annual June Year,2017,49,Mm3,3
Outflow to other regions,BAY_OF_PLENTY,NIWA,Annual June Year,2017,2954,Mm3,4
Outflow to other regions,GISBORNE,NIWA,Annual June Year,2017,7548,Mm3,5
Outflow to other regions,HAWKES_BAY,NIWA,Annual June Year,2017,306,Mm3,6
Outflow to other regions,TARANAKI,NIWA,Annual June Year,2017,2,Mm3,7
Outflow to other regions,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,82,Mm3,8
Outflow to other regions,WELLINGTON,NIWA,Annual June Year,2017,0,Mm3,9
Outflow to other regions,WEST_COAST,NIWA,Annual June Year,2017,1429,Mm3,12
Outflow to other regions,CANTERBURY,NIWA,Annual June Year,2017,23101,Mm3,13
Outflow to other regions,OTAGO,NIWA,Annual June Year,2017,83,Mm3,14
Outflow to other regions,SOUTHLAND,NIWA,Annual June Year,2017,89,Mm3,15
Outflow to other regions,TASMAN,NIWA,Annual June Year,2017,7521,Mm3,16
Outflow to other regions,NELSON,NIWA,Annual June Year,2017,65,Mm3,17
Outflow to other regions,MARLBOROUGH,NIWA,Annual June Year,2017,9980,Mm3,18
Outflow to sea and net extract,NORTHLAND,NIWA,Annual June Year,2017,12534,Mm3,1
Outflow to sea and net extract,AUCKLAND,NIWA,Annual June Year,2017,5863,Mm3,2
Outflow to sea and net extract,WAIKATO,NIWA,Annual June Year,2017,27533,Mm3,3
Outflow to sea and net extract,BAY_OF_PLENTY,NIWA,Annual June Year,2017,22780,Mm3,4
Outflow to sea and net extract,GISBORNE,NIWA,Annual June Year,2017,9856,Mm3,5
Outflow to sea and net extract,HAWKES_BAY,NIWA,Annual June Year,2017,20266,Mm3,6
Outflow to sea and net extract,TARANAKI,NIWA,Annual June Year,2017,9153,Mm3,7
Outflow to sea and net extract,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,23478,Mm3,8
Outflow to sea and net extract,WELLINGTON,NIWA,Annual June Year,2017,10795,Mm3,9
Outflow to sea and net extract,NORTH_ISLAND,NIWA,Annual June Year,2017,142258,Mm3,10
Outflow to sea and net extract,WEST_COAST,NIWA,Annual June Year,2017,120628,Mm3,12
Outflow to sea and net extract,CANTERBURY,NIWA,Annual June Year,2017,34409,Mm3,13
Outflow to sea and net extract,OTAGO,NIWA,Annual June Year,2017,40221,Mm3,14
Outflow to sea and net extract,SOUTHLAND,NIWA,Annual June Year,2017,50442,Mm3,15
Outflow to sea and net extract,TASMAN,NIWA,Annual June Year,2017,10627,Mm3,16
Outflow to sea and net extract,NELSON,NIWA,Annual June Year,2017,393,Mm3,17
Outflow to sea and net extract,MARLBOROUGH,NIWA,Annual June Year,2017,9070,Mm3,18
Outflow to sea and net extract,SOUTH_ISLAND,NIWA,Annual June Year,2017,265790,Mm3,19
Outflow to sea and net extract,NEW_ZEALAND,NIWA,Annual June Year,2017,408048,Mm3,20
Precipitation,NORTHLAND,NIWA,Annual June Year,2017,20311,Mm3,1
Precipitation,AUCKLAND,NIWA,Annual June Year,2017,8381,Mm3,2
Precipitation,WAIKATO,NIWA,Annual June Year,2017,42643,Mm3,3
Precipitation,BAY_OF_PLENTY,NIWA,Annual June Year,2017,28816,Mm3,4
Precipitation,GISBORNE,NIWA,Annual June Year,2017,19530,Mm3,5
Precipitation,HAWKES_BAY,NIWA,Annual June Year,2017,25309,Mm3,6
Precipitation,TARANAKI,NIWA,Annual June Year,2017,13979,Mm3,7
Precipitation,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,34915,Mm3,8
Precipitation,WELLINGTON,NIWA,Annual June Year,2017,15881,Mm3,9
Precipitation,NORTH_ISLAND,NIWA,Annual June Year,2017,209765,Mm3,10
Precipitation,WEST_COAST,NIWA,Annual June Year,2017,128984,Mm3,12
Precipitation,CANTERBURY,NIWA,Annual June Year,2017,57813,Mm3,13
Precipitation,OTAGO,NIWA,Annual June Year,2017,36916,Mm3,14
Precipitation,SOUTHLAND,NIWA,Annual June Year,2017,63550,Mm3,15
Precipitation,TASMAN,NIWA,Annual June Year,2017,20275,Mm3,16
Precipitation,NELSON,NIWA,Annual June Year,2017,676,Mm3,17
Precipitation,MARLBOROUGH,NIWA,Annual June Year,2017,14553,Mm3,18
Precipitation,SOUTH_ISLAND,NIWA,Annual June Year,2017,322767,Mm3,19
Precipitation,NEW_ZEALAND,NIWA,Annual June Year,2017,532532,Mm3,20
Total Change in Storage,NORTHLAND,NIWA,Annual June Year,2017,-117,Mm3,1
Total Change in Storage,AUCKLAND,NIWA,Annual June Year,2017,-124,Mm3,2
Total Change in Storage,WAIKATO,NIWA,Annual June Year,2017,511,Mm3,3
Total Change in Storage,BAY_OF_PLENTY,NIWA,Annual June Year,2017,-37,Mm3,4
Total Change in Storage,GISBORNE,NIWA,Annual June Year,2017,-164,Mm3,5
Total Change in Storage,HAWKES_BAY,NIWA,Annual June Year,2017,-250,Mm3,6
Total Change in Storage,TARANAKI,NIWA,Annual June Year,2017,153,Mm3,7
Total Change in Storage,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,-295,Mm3,8
Total Change in Storage,WELLINGTON,NIWA,Annual June Year,2017,53,Mm3,9
Total Change in Storage,NORTH_ISLAND,NIWA,Annual June Year,2017,-270,Mm3,10
Total Change in Storage,WEST_COAST,NIWA,Annual June Year,2017,22,Mm3,12
Total Change in Storage,CANTERBURY,NIWA,Annual June Year,2017,-1854,Mm3,13
Total Change in Storage,OTAGO,NIWA,Annual June Year,2017,-650,Mm3,14
Total Change in Storage,SOUTHLAND,NIWA,Annual June Year,2017,-780,Mm3,15
Total Change in Storage,TASMAN,NIWA,Annual June Year,2017,-1876,Mm3,16
Total Change in Storage,NELSON,NIWA,Annual June Year,2017,5,Mm3,17
Total Change in Storage,MARLBOROUGH,NIWA,Annual June Year,2017,-88,Mm3,18
Total Change in Storage,SOUTH_ISLAND,NIWA,Annual June Year,2017,-5220,Mm3,19
Total Change in Storage,NEW_ZEALAND,NIWA,Annual June Year,2017,-5490,Mm3,20
Total Inflows,NORTHLAND,NIWA,Annual June Year,2017,20314,Mm3,1
Total Inflows,AUCKLAND,NIWA,Annual June Year,2017,8392,Mm3,2
Total Inflows,WAIKATO,NIWA,Annual June Year,2017,42724,Mm3,3
Total Inflows,BAY_OF_PLENTY,NIWA,Annual June Year,2017,34321,Mm3,4
Total Inflows,GISBORNE,NIWA,Annual June Year,2017,22748,Mm3,5
Total Inflows,HAWKES_BAY,NIWA,Annual June Year,2017,27386,Mm3,6
Total Inflows,TARANAKI,NIWA,Annual June Year,2017,13983,Mm3,7
Total Inflows,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,34940,Mm3,8
Total Inflows,WELLINGTON,NIWA,Annual June Year,2017,15945,Mm3,9
Total Inflows,WEST_COAST,NIWA,Annual June Year,2017,136528,Mm3,12
Total Inflows,CANTERBURY,NIWA,Annual June Year,2017,67837,Mm3,13
Total Inflows,OTAGO,NIWA,Annual June Year,2017,51803,Mm3,14
Total Inflows,SOUTHLAND,NIWA,Annual June Year,2017,63589,Mm3,15
Total Inflows,TASMAN,NIWA,Annual June Year,2017,21769,Mm3,16
Total Inflows,NELSON,NIWA,Annual June Year,2017,681,Mm3,17
Total Inflows,MARLBOROUGH,NIWA,Annual June Year,2017,22829,Mm3,18
Total Outflows,NORTHLAND,NIWA,Annual June Year,2017,20431,Mm3,1
Total Outflows,AUCKLAND,NIWA,Annual June Year,2017,8516,Mm3,2
Total Outflows,WAIKATO,NIWA,Annual June Year,2017,42213,Mm3,3
Total Outflows,BAY_OF_PLENTY,NIWA,Annual June Year,2017,34357,Mm3,4
Total Outflows,GISBORNE,NIWA,Annual June Year,2017,22912,Mm3,5
Total Outflows,HAWKES_BAY,NIWA,Annual June Year,2017,27636,Mm3,6
Total Outflows,TARANAKI,NIWA,Annual June Year,2017,13829,Mm3,7
Total Outflows,MANAWATU_WHANGANUI,NIWA,Annual June Year,2017,35234,Mm3,8
Total Outflows,WELLINGTON,NIWA,Annual June Year,2017,15892,Mm3,9
Total Outflows,WEST_COAST,NIWA,Annual June Year,2017,136506,Mm3,12
Total Outflows,CANTERBURY,NIWA,Annual June Year,2017,69691,Mm3,13
Total Outflows,OTAGO,NIWA,Annual June Year,2017,52452,Mm3,14
Total Outflows,SOUTHLAND,NIWA,Annual June Year,2017,64369,Mm3,15
Total Outflows,TASMAN,NIWA,Annual June Year,2017,23645,Mm3,16
Total Outflows,NELSON,NIWA,Annual June Year,2017,675,Mm3,17
Total Outflows,MARLBOROUGH,NIWA,Annual June Year,2017,22917,Mm3,18
change in Groundwater,NORTHLAND,GNS,Annual June Year,2017,41,Mm3,1
change in Groundwater,AUCKLAND,GNS,Annual June Year,2017,-67,Mm3,2
change in Groundwater,WAIKATO,GNS,Annual June Year,2017,1002,Mm3,3
change in Groundwater,BAY_OF_PLENTY,GNS,Annual June Year,2017,188,Mm3,4
change in Groundwater,GISBORNE,GNS,Annual June Year,2017,46,Mm3,5
change in Groundwater,HAWKES_BAY,GNS,Annual June Year,2017,52,Mm3,6
change in Groundwater,TARANAKI,GNS,Annual June Year,2017,300,Mm3,7
change in Groundwater,MANAWATU_WHANGANUI,GNS,Annual June Year,2017,22,Mm3,8
change in Groundwater,WELLINGTON,GNS,Annual June Year,2017,228,Mm3,9
change in Groundwater,NORTH_ISLAND,GNS,Annual June Year,2017,1812,Mm3,10
change in Groundwater,WEST_COAST,GNS,Annual June Year,2017,-128,Mm3,12
change in Groundwater,CANTERBURY,GNS,Annual June Year,2017,110,Mm3,13
change in Groundwater,OTAGO,GNS,Annual June Year,2017,45,Mm3,14
change in Groundwater,SOUTHLAND,GNS,Annual June Year,2017,-566,Mm3,15
change in Groundwater,TASMAN,GNS,Annual June Year,2017,-1852,Mm3,16
change in Groundwater,NELSON,GNS,Annual June Year,2017,0,Mm3,17
change in Groundwater,MARLBOROUGH,GNS,Annual June Year,2017,-33,Mm3,18
change in Groundwater,SOUTH_ISLAND,GNS,Annual June Year,2017,-2424,Mm3,19
change in Groundwater,NEW_ZEALAND,GNS,Annual June Year,2017,-612,Mm3,20
Change in Ice Volume,NORTHLAND,NIWA,Annual June Year,2018,,Mm3,1
Change in Ice Volume,AUCKLAND,NIWA,Annual June Year,2018,,Mm3,2
Change in Ice Volume,WAIKATO,NIWA,Annual June Year,2018,-1,Mm3,3
Change in Ice Volume,BAY_OF_PLENTY,NIWA,Annual June Year,2018,,Mm3,4
Change in Ice Volume,GISBORNE,NIWA,Annual June Year,2018,,Mm3,5
Change in Ice Volume,HAWKES_BAY,NIWA,Annual June Year,2018,,Mm3,6
Change in Ice Volume,TARANAKI,NIWA,Annual June Year,2018,,Mm3,7
Change in Ice Volume,MANAWATU_WHANGANUI,NIWA,Annual June Year,2018,-3,Mm3,8
Change in Ice Volume,WELLINGTON,NIWA,Annual June Year,2018,,Mm3,9
Change in Ice Volume,NORTH_ISLAND,NIWA,Annual June Year,2018,-4,Mm3,10
Change in Ice Volume,WEST_COAST,NIWA,Annual June Year,2018,-1399,Mm3,12
Change in Ice Volume,CANTERBURY,NIWA,Annual June Year,2018,-1782,Mm3,13
Change in Ice Volume,OTAGO,NIWA,Annual June Year,2018,-199,Mm3,14
Change in Ice Volume,SOUTHLAND,NIWA,Annual June Year,2018,-60,Mm3,15
Change in Ice Volume,TASMAN,NIWA,Annual June Year,2018,,Mm3,16
Change in Ice Volume,NELSON,NIWA,Annual June Year,2018,,Mm3,17
Change in Ice Volume,MARLBOROUGH,NIWA,Annual June Year,2018,0,Mm3,18
Change in Ice Volume,SOUTH_ISLAND,NIWA,Annual June Year,2018,-3440,Mm3,19
Change in Ice Volume,NEW_ZEALAND,NIWA,Annual June Year,2018,-3444,Mm3,20
Change in Snow,NORTHLAND,NIWA,Annual June Year,2018,0,Mm3,1
Change in Snow,AUCKLAND,NIWA,Annual June Year,2018,0,Mm3,2
Change in Snow,WAIKATO,NIWA,Annual June Year,2018,86,Mm3,3
Change in Snow,BAY_OF_PLENTY,NIWA,Annual June Year,2018,4,Mm3,4
Change in Snow,GISBORNE,NIWA,Annual June Year,2018,0,Mm3,5
Change in Snow,HAWKES_BAY,NIWA,Annual June Year,2018,12,Mm3,6
Change in Snow,TARANAKI,NIWA,Annual June Year,2018,1,Mm3,7
Change in Snow,MANAWATU_WHANGANUI,NIWA,Annual June Year,2018,19,Mm3,8
Change in Snow,WELLINGTON,NIWA,Annual June Year,2018,7,Mm3,9
Change in Snow,NORTH_ISLAND,NIWA,Annual June Year,2018,130,Mm3,10
Change in Snow,WEST_COAST,NIWA,Annual June Year,2018,697,Mm3,12
Change in Snow,CANTERBURY,NIWA,Annual June Year,2018,136,Mm3,13
Change in Snow,OTAGO,NIWA,Annual June Year,2018,-28,Mm3,14
Change in Snow,SOUTHLAND,NIWA,Annual June Year,2018,-165,Mm3,15
Change in Snow,TASMAN,NIWA,Annual June Year,2018,93,Mm3,16
Change in Snow,NELSON,NIWA,Annual June Year,2018,0,Mm3,17
Change in Snow,MARLBOROUGH,NIWA,Annual June Year,2018,33,Mm3,18
Change in Snow,SOUTH_ISLAND,NIWA,Annual June Year,2018,767,Mm3,19
Change in Snow,NEW_ZEALAND,NIWA,Annual June Year,2018,897,Mm3,20
Change in Soil Moisture,NORTHLAND,NIWA,Annual June Year,2018,29,Mm3,1
Change in Soil Moisture,AUCKLAND,NIWA,Annual June Year,2018,12,Mm3,2
Change in Soil Moisture,WAIKATO,NIWA,Annual June Year,2018,101,Mm3,3
Change in Soil Moisture,BAY_OF_PLENTY,NIWA,Annual June Year,2018,6,Mm3,4
Change in Soil Moisture,GISBORNE,NIWA,Annual June Year,2018,-50,Mm3,5
Change in Soil Moisture,HAWKES_BAY,NIWA,Annual June Year,2018,-12,Mm3,6
Change in Soil Moisture,TARANAKI,NIWA,Annual June Year,2018,40,Mm3,7
Change in Soil Moisture,MANAWATU_WHANGANUI,NIWA,Annual June Year,2018,68,Mm3,8
Change in Soil Moisture,WELLINGTON,NIWA,Annual June Year,2018,-4,Mm3,9
Change in Soil Moisture,NORTH_ISLAND,NIWA,Annual June Year,2018,189,Mm3,10
Change in Soil Moisture,WEST_COAST,NIWA,Annual June Year,2018,-69,Mm3,12
Change in Soil Moisture,CANTERBURY,NIWA,Annual June Year,2018,-139,Mm3,13
Change in Soil Moisture,OTAGO,NIWA,Annual June Year,2018,-75,Mm3,14
Change in Soil Moisture,SOUTHLAND,NIWA,Annual June Year,2018,-10,Mm3,15
Change in Soil Moisture,TASMAN,NIWA,Annual June Year,2018,-79,Mm3,16
Change in Soil Moisture,NELSON,NIWA,Annual June Year,2018,-7,Mm3,17
Change in Soil Moisture,MARLBOROUGH,NIWA,Annual June Year,2018,-29,Mm3,18
Change in Soil Moisture,SOUTH_ISLAND,NIWA,Annual June Year,2018,-408,Mm3,19
Change in Soil Moisture,NEW_ZEALAND,NIWA,Annual June Year,2018,-218,Mm3,20
Change in Lakes,NORTHLAND,NIWA,Annual June Year,2018,0,Mm3,1
Change in Lakes,AUCKLAND,NIWA,Annual June Year,2018,0,Mm3,2
Change in Lakes,WAIKATO,NIWA,Annual June Year,2018,77,Mm3,3
Change in Lakes,BAY_OF_PLENTY,NIWA,Annual June Year,2018,53,Mm3,4
Change in Lakes,GISBORNE,NIWA,Annual June Year,2018,0,Mm3,5
